from,to,type
candidate_19,task_prepare_report,ASSIGNED_TASK
candidate_19,feedback_19,HAS_FEEDBACK
candidate_19,placement_19,PLACED_IN
candidate_20,email_20,HAS_EMAIL
candidate_20,company_17,WORKED_AT
candidate_20,skill_salesforce,HAS_SKILL
candidate_20,skill_aws,HAS_SKILL
candidate_20,skill_java,HAS_SKILL
candidate_20,trait_leader,HAS_TRAIT
candidate_20,trait_creative,HAS_TRAIT
candidate_20,task_prepare_report,ASSIGNED_TASK
candidate_20,feedback_20,HAS_FEEDBACK
candidate_20,placement_20,PLACED_IN
candidate_21,email_21,HAS_EMAIL
candidate_21,company_10,WORKED_AT
candidate_21,skill_java,HAS_SKILL
candidate_21,skill_react,HAS_SKILL
candidate_21,skill_sql,HAS_SKILL
candidate_21,trait_team_player,HAS_TRAIT
candidate_21,trait_analytical,HAS_TRAIT
candidate_21,task_prepare_report,ASSIGNED_TASK
candidate_21,feedback_21,HAS_FEEDBACK
candidate_21,placement_21,PLACED_IN
candidate_22,email_22,HAS_EMAIL
candidate_22,company_16,WORKED_AT
candidate_22,skill_java,HAS_SKILL
candidate_22,skill_sql,HAS_SKILL
candidate_22,skill_emr,HAS_SKILL
candidate_22,trait_organized,HAS_TRAIT
candidate_22,trait_detail-oriented,HAS_TRAIT
candidate_22,task_conduct_interview,ASSIGNED_TASK
candidate_22,feedback_22,HAS_FEEDBACK
candidate_22,placement_22,PLACED_IN
candidate_23,email_23,HAS_EMAIL
candidate_23,company_7,WORKED_AT
candidate_23,skill_java,HAS_SKILL
candidate_23,skill_aws,HAS_SKILL
candidate_23,skill_machine learning,HAS_SKILL
candidate_23,trait_analytical,HAS_TRAIT
candidate_23,trait_leader,HAS_TRAIT
candidate_23,task_data_entry,ASSIGNED_TASK
candidate_23,feedback_23,HAS_FEEDBACK
candidate_23,placement_23,PLACED_IN
candidate_24,email_24,HAS_EMAIL
candidate_24,company_4,WORKED_AT
candidate_24,skill_nursing,HAS_SKILL
candidate_24,skill_machine learning,HAS_SKILL
candidate_24,skill_excel,HAS_SKILL
candidate_24,trait_organized,HAS_TRAIT
candidate_24,trait_detail-oriented,HAS_TRAIT
candidate_24,task_prepare_report,ASSIGNED_TASK
candidate_24,feedback_24,HAS_FEEDBACK
candidate_24,placement_24,PLACED_IN
candidate_25,email_25,HAS_EMAIL
candidate_25,company_10,WORKED_AT
candidate_25,skill_excel,HAS_SKILL
candidate_25,skill_sql,HAS_SKILL
candidate_25,skill_salesforce,HAS_SKILL
candidate_25,trait_leader,HAS_TRAIT
candidate_25,trait_creative,HAS_TRAIT
candidate_25,task_write_code,ASSIGNED_TASK
candidate_25,feedback_25,HAS_FEEDBACK
candidate_25,placement_25,PLACED_IN
candidate_26,email_26,HAS_EMAIL
candidate_26,company_15,WORKED_AT
candidate_26,skill_aws,HAS_SKILL
candidate_26,skill_java,HAS_SKILL
candidate_26,skill_python,HAS_SKILL
candidate_26,trait_analytical,HAS_TRAIT
candidate_26,trait_empathetic,HAS_TRAIT
candidate_26,task_prepare_report,ASSIGNED_TASK
candidate_26,feedback_26,HAS_FEEDBACK
candidate_26,placement_26,PLACED_IN
candidate_27,email_27,HAS_EMAIL
candidate_27,company_11,WORKED_AT
candidate_27,skill_sql,HAS_SKILL
candidate_27,skill_nursing,HAS_SKILL
candidate_27,skill_aws,HAS_SKILL
candidate_27,trait_organized,HAS_TRAIT
candidate_27,trait_team_player,HAS_TRAIT
candidate_27,task_conduct_interview,ASSIGNED_TASK
candidate_27,feedback_27,HAS_FEEDBACK
candidate_27,placement_27,PLACED_IN
candidate_28,email_28,HAS_EMAIL
candidate_28,company_13,WORKED_AT
candidate_28,skill_excel,HAS_SKILL
candidate_28,skill_emr,HAS_SKILL
candidate_28,skill_react,HAS_SKILL
candidate_28,trait_organized,HAS_TRAIT
candidate_28,trait_team_player,HAS_TRAIT
candidate_28,task_data_entry,ASSIGNED_TASK
candidate_28,feedback_28,HAS_FEEDBACK
candidate_28,placement_28,PLACED_IN
candidate_29,email_29,HAS_EMAIL
candidate_29,company_2,WORKED_AT
candidate_29,skill_react,HAS_SKILL
candidate_29,skill_java,HAS_SKILL
candidate_29,skill_machine learning,HAS_SKILL
candidate_29,trait_leader,HAS_TRAIT
candidate_29,trait_organized,HAS_TRAIT
candidate_29,task_prepare_report,ASSIGNED_TASK
candidate_29,feedback_29,HAS_FEEDBACK
candidate_29,placement_29,PLACED_IN
candidate_30,email_30,HAS_EMAIL
candidate_30,company_1,WORKED_AT
candidate_30,skill_machine learning,HAS_SKILL
candidate_30,skill_excel,HAS_SKILL
candidate_30,skill_react,HAS_SKILL
candidate_30,trait_detail-oriented,HAS_TRAIT
candidate_30,trait_empathetic,HAS_TRAIT
candidate_30,task_data_entry,ASSIGNED_TASK
candidate_30,feedback_30,HAS_FEEDBACK
candidate_30,placement_30,PLACED_IN
candidate_31,email_31,HAS_EMAIL
candidate_31,company_14,WORKED_AT
candidate_31,skill_react,HAS_SKILL
candidate_31,skill_nursing,HAS_SKILL
candidate_31,skill_aws,HAS_SKILL
candidate_31,trait_team_player,HAS_TRAIT
candidate_31,trait_creative,HAS_TRAIT
candidate_31,task_diagnose_patient,ASSIGNED_TASK
candidate_31,feedback_31,HAS_FEEDBACK
candidate_31,placement_31,PLACED_IN
candidate_32,email_32,HAS_EMAIL
candidate_32,company_8,WORKED_AT
candidate_32,skill_aws,HAS_SKILL
candidate_32,skill_python,HAS_SKILL
candidate_32,skill_salesforce,HAS_SKILL
candidate_32,trait_detail-oriented,HAS_TRAIT
candidate_32,trait_organized,HAS_TRAIT
candidate_32,task_diagnose_patient,ASSIGNED_TASK
candidate_32,feedback_32,HAS_FEEDBACK
candidate_32,placement_32,PLACED_IN
candidate_33,email_33,HAS_EMAIL
candidate_33,company_4,WORKED_AT
candidate_33,skill_nursing,HAS_SKILL
candidate_33,skill_emr,HAS_SKILL
candidate_33,skill_python,HAS_SKILL
candidate_33,trait_empathetic,HAS_TRAIT
candidate_33,trait_leader,HAS_TRAIT
candidate_33,task_conduct_interview,ASSIGNED_TASK
candidate_33,feedback_33,HAS_FEEDBACK
candidate_33,placement_33,PLACED_IN
candidate_34,email_34,HAS_EMAIL
candidate_34,company_7,WORKED_AT
candidate_34,skill_machine learning,HAS_SKILL
candidate_34,skill_python,HAS_SKILL
candidate_34,skill_nursing,HAS_SKILL
candidate_34,trait_leader,HAS_TRAIT
candidate_34,trait_organized,HAS_TRAIT
candidate_34,task_prepare_report,ASSIGNED_TASK
candidate_34,feedback_34,HAS_FEEDBACK
candidate_34,placement_34,PLACED_IN
candidate_35,email_35,HAS_EMAIL
candidate_35,company_10,WORKED_AT
candidate_35,skill_excel,HAS_SKILL
candidate_35,skill_sql,HAS_SKILL
candidate_35,skill_java,HAS_SKILL
candidate_35,trait_organized,HAS_TRAIT
candidate_35,trait_analytical,HAS_TRAIT
candidate_35,task_prepare_report,ASSIGNED_TASK
candidate_35,feedback_35,HAS_FEEDBACK
candidate_35,placement_35,PLACED_IN
candidate_36,email_36,HAS_EMAIL
candidate_36,company_11,WORKED_AT
candidate_36,skill_excel,HAS_SKILL
candidate_36,skill_python,HAS_SKILL
candidate_36,skill_emr,HAS_SKILL
candidate_36,trait_empathetic,HAS_TRAIT
candidate_36,trait_creative,HAS_TRAIT
candidate_36,task_conduct_interview,ASSIGNED_TASK
candidate_36,feedback_36,HAS_FEEDBACK
candidate_36,placement_36,PLACED_IN
candidate_37,email_37,HAS_EMAIL
candidate_37,company_8,WORKED_AT
candidate_37,skill_emr,HAS_SKILL
candidate_37,skill_salesforce,HAS_SKILL
candidate_37,skill_sql,HAS_SKILL
candidate_37,trait_analytical,HAS_TRAIT
candidate_37,trait_empathetic,HAS_TRAIT
candidate_37,task_diagnose_patient,ASSIGNED_TASK
candidate_37,feedback_37,HAS_FEEDBACK
candidate_37,placement_37,PLACED_IN
candidate_38,email_38,HAS_EMAIL
candidate_38,company_16,WORKED_AT
candidate_38,skill_java,HAS_SKILL
candidate_38,skill_machine learning,HAS_SKILL
candidate_38,skill_nursing,HAS_SKILL
candidate_38,trait_leader,HAS_TRAIT
candidate_38,trait_organized,HAS_TRAIT
candidate_38,task_data_entry,ASSIGNED_TASK
candidate_38,feedback_38,HAS_FEEDBACK
candidate_38,placement_38,PLACED_IN
candidate_39,email_39,HAS_EMAIL
candidate_39,company_16,WORKED_AT
candidate_39,skill_java,HAS_SKILL
candidate_39,skill_excel,HAS_SKILL
candidate_39,skill_emr,HAS_SKILL
candidate_39,trait_organized,HAS_TRAIT
candidate_39,trait_empathetic,HAS_TRAIT
candidate_39,task_write_code,ASSIGNED_TASK
candidate_39,feedback_39,HAS_FEEDBACK
candidate_39,placement_39,PLACED_IN
candidate_40,email_40,HAS_EMAIL
candidate_40,company_13,WORKED_AT
candidate_40,skill_excel,HAS_SKILL
candidate_40,skill_emr,HAS_SKILL
candidate_40,skill_aws,HAS_SKILL
candidate_40,trait_team_player,HAS_TRAIT
candidate_40,trait_empathetic,HAS_TRAIT
candidate_40,task_conduct_interview,ASSIGNED_TASK
candidate_40,feedback_40,HAS_FEEDBACK
candidate_40,placement_40,PLACED_IN
candidate_41,email_41,HAS_EMAIL
candidate_41,company_7,WORKED_AT
candidate_41,skill_python,HAS_SKILL
candidate_41,skill_sql,HAS_SKILL
candidate_41,skill_emr,HAS_SKILL
candidate_41,trait_detail-oriented,HAS_TRAIT
candidate_41,trait_empathetic,HAS_TRAIT
candidate_41,task_write_code,ASSIGNED_TASK
candidate_41,feedback_41,HAS_FEEDBACK
candidate_41,placement_41,PLACED_IN
candidate_42,email_42,HAS_EMAIL
candidate_42,company_10,WORKED_AT
candidate_42,skill_emr,HAS_SKILL
candidate_42,skill_python,HAS_SKILL
candidate_42,skill_machine learning,HAS_SKILL
candidate_42,trait_team_player,HAS_TRAIT
candidate_42,trait_creative,HAS_TRAIT
candidate_42,task_diagnose_patient,ASSIGNED_TASK
candidate_42,feedback_42,HAS_FEEDBACK
candidate_42,placement_42,PLACED_IN
candidate_43,email_43,HAS_EMAIL
candidate_43,company_9,WORKED_AT
candidate_43,skill_java,HAS_SKILL
candidate_43,skill_react,HAS_SKILL
candidate_43,skill_aws,HAS_SKILL
candidate_43,trait_team_player,HAS_TRAIT
candidate_43,trait_leader,HAS_TRAIT
candidate_43,task_write_code,ASSIGNED_TASK
candidate_43,feedback_43,HAS_FEEDBACK
candidate_43,placement_43,PLACED_IN
candidate_44,email_44,HAS_EMAIL
candidate_44,company_14,WORKED_AT
candidate_44,skill_sql,HAS_SKILL
candidate_44,skill_excel,HAS_SKILL
candidate_44,skill_machine learning,HAS_SKILL
candidate_44,trait_leader,HAS_TRAIT
candidate_44,trait_creative,HAS_TRAIT
candidate_44,task_diagnose_patient,ASSIGNED_TASK
candidate_44,feedback_44,HAS_FEEDBACK
candidate_44,placement_44,PLACED_IN
candidate_45,email_45,HAS_EMAIL
candidate_45,company_6,WORKED_AT
candidate_45,skill_excel,HAS_SKILL
candidate_45,skill_java,HAS_SKILL
candidate_45,skill_nursing,HAS_SKILL
candidate_45,trait_organized,HAS_TRAIT
candidate_45,trait_detail-oriented,HAS_TRAIT
candidate_45,task_prepare_report,ASSIGNED_TASK
candidate_45,feedback_45,HAS_FEEDBACK
candidate_45,placement_45,PLACED_IN
candidate_46,email_46,HAS_EMAIL
candidate_46,company_3,WORKED_AT
candidate_46,skill_salesforce,HAS_SKILL
candidate_46,skill_java,HAS_SKILL
candidate_46,skill_nursing,HAS_SKILL
candidate_46,trait_organized,HAS_TRAIT
candidate_46,trait_analytical,HAS_TRAIT
candidate_46,task_data_entry,ASSIGNED_TASK
candidate_46,feedback_46,HAS_FEEDBACK
candidate_46,placement_46,PLACED_IN
candidate_47,email_47,HAS_EMAIL
candidate_47,company_14,WORKED_AT
candidate_47,skill_emr,HAS_SKILL
candidate_47,skill_aws,HAS_SKILL
candidate_47,skill_react,HAS_SKILL
candidate_47,trait_analytical,HAS_TRAIT
candidate_47,trait_team_player,HAS_TRAIT
candidate_47,task_diagnose_patient,ASSIGNED_TASK
candidate_47,feedback_47,HAS_FEEDBACK
candidate_47,placement_47,PLACED_IN
candidate_48,email_48,HAS_EMAIL
candidate_48,company_16,WORKED_AT
candidate_48,skill_java,HAS_SKILL
candidate_48,skill_aws,HAS_SKILL
candidate_48,skill_machine learning,HAS_SKILL
candidate_48,trait_organized,HAS_TRAIT
candidate_48,trait_creative,HAS_TRAIT
candidate_48,task_conduct_interview,ASSIGNED_TASK
candidate_48,feedback_48,HAS_FEEDBACK
candidate_48,placement_48,PLACED_IN
candidate_49,email_49,HAS_EMAIL
candidate_49,company_13,WORKED_AT
candidate_49,skill_salesforce,HAS_SKILL
candidate_49,skill_nursing,HAS_SKILL
candidate_49,skill_machine learning,HAS_SKILL
candidate_49,trait_organized,HAS_TRAIT
candidate_49,trait_detail-oriented,HAS_TRAIT
candidate_49,task_conduct_interview,ASSIGNED_TASK
candidate_49,feedback_49,HAS_FEEDBACK
candidate_49,placement_49,PLACED_IN
candidate_50,email_50,HAS_EMAIL
candidate_50,company_1,WORKED_AT
candidate_50,skill_java,HAS_SKILL
candidate_50,skill_salesforce,HAS_SKILL
candidate_50,skill_sql,HAS_SKILL
candidate_50,trait_empathetic,HAS_TRAIT
candidate_50,trait_organized,HAS_TRAIT
candidate_50,task_conduct_interview,ASSIGNED_TASK
candidate_50,feedback_50,HAS_FEEDBACK
candidate_50,placement_50,PLACED_IN
candidate_51,email_51,HAS_EMAIL
candidate_51,company_1,WORKED_AT
candidate_51,skill_salesforce,HAS_SKILL
candidate_51,skill_java,HAS_SKILL
candidate_51,skill_nursing,HAS_SKILL
candidate_51,trait_creative,HAS_TRAIT
candidate_51,trait_detail-oriented,HAS_TRAIT
candidate_51,task_conduct_interview,ASSIGNED_TASK
candidate_51,feedback_51,HAS_FEEDBACK
candidate_51,placement_51,PLACED_IN
candidate_52,email_52,HAS_EMAIL
candidate_52,company_14,WORKED_AT
candidate_52,skill_sql,HAS_SKILL
candidate_52,skill_machine learning,HAS_SKILL
candidate_52,skill_emr,HAS_SKILL
candidate_52,trait_organized,HAS_TRAIT
candidate_52,trait_empathetic,HAS_TRAIT
candidate_52,task_prepare_report,ASSIGNED_TASK
candidate_52,feedback_52,HAS_FEEDBACK
candidate_52,placement_52,PLACED_IN
candidate_53,email_53,HAS_EMAIL
candidate_53,company_0,WORKED_AT
candidate_53,skill_react,HAS_SKILL
candidate_53,skill_aws,HAS_SKILL
candidate_53,skill_excel,HAS_SKILL
candidate_53,trait_analytical,HAS_TRAIT
candidate_53,trait_team_player,HAS_TRAIT
candidate_53,task_write_code,ASSIGNED_TASK
candidate_53,feedback_53,HAS_FEEDBACK
candidate_53,placement_53,PLACED_IN
candidate_54,email_54,HAS_EMAIL
candidate_54,company_2,WORKED_AT
candidate_54,skill_java,HAS_SKILL
candidate_54,skill_sql,HAS_SKILL
candidate_54,skill_react,HAS_SKILL
candidate_54,trait_team_player,HAS_TRAIT
candidate_54,trait_organized,HAS_TRAIT
candidate_54,task_data_entry,ASSIGNED_TASK
candidate_54,feedback_54,HAS_FEEDBACK
candidate_54,placement_54,PLACED_IN
candidate_55,email_55,HAS_EMAIL
candidate_55,company_17,WORKED_AT
candidate_55,skill_react,HAS_SKILL
candidate_55,skill_excel,HAS_SKILL
candidate_55,skill_aws,HAS_SKILL
candidate_55,trait_analytical,HAS_TRAIT
candidate_55,trait_creative,HAS_TRAIT
candidate_55,task_conduct_interview,ASSIGNED_TASK
candidate_55,feedback_55,HAS_FEEDBACK
candidate_55,placement_55,PLACED_IN
candidate_56,email_56,HAS_EMAIL
candidate_56,company_19,WORKED_AT
candidate_56,skill_react,HAS_SKILL
candidate_56,skill_aws,HAS_SKILL
candidate_56,skill_emr,HAS_SKILL
candidate_56,trait_creative,HAS_TRAIT
candidate_56,trait_detail-oriented,HAS_TRAIT
candidate_56,task_prepare_report,ASSIGNED_TASK
candidate_56,feedback_56,HAS_FEEDBACK
candidate_56,placement_56,PLACED_IN
candidate_57,email_57,HAS_EMAIL
candidate_57,company_9,WORKED_AT
candidate_57,skill_java,HAS_SKILL
candidate_57,skill_excel,HAS_SKILL
candidate_57,skill_salesforce,HAS_SKILL
candidate_57,trait_leader,HAS_TRAIT
candidate_57,trait_analytical,HAS_TRAIT
candidate_57,task_diagnose_patient,ASSIGNED_TASK
candidate_57,feedback_57,HAS_FEEDBACK
candidate_57,placement_57,PLACED_IN
candidate_58,email_58,HAS_EMAIL
candidate_58,company_19,WORKED_AT
candidate_58,skill_emr,HAS_SKILL
candidate_58,skill_sql,HAS_SKILL
candidate_58,skill_excel,HAS_SKILL
candidate_58,trait_creative,HAS_TRAIT
candidate_58,trait_organized,HAS_TRAIT
candidate_58,task_write_code,ASSIGNED_TASK
candidate_58,feedback_58,HAS_FEEDBACK
candidate_58,placement_58,PLACED_IN
candidate_59,email_59,HAS_EMAIL
candidate_59,company_11,WORKED_AT
candidate_59,skill_excel,HAS_SKILL
candidate_59,skill_nursing,HAS_SKILL
candidate_59,skill_react,HAS_SKILL
candidate_59,trait_creative,HAS_TRAIT
candidate_59,trait_leader,HAS_TRAIT
candidate_59,task_data_entry,ASSIGNED_TASK
candidate_59,feedback_59,HAS_FEEDBACK
candidate_59,placement_59,PLACED_IN
candidate_60,email_60,HAS_EMAIL
candidate_60,company_0,WORKED_AT
candidate_60,skill_react,HAS_SKILL
candidate_60,skill_python,HAS_SKILL
candidate_60,skill_salesforce,HAS_SKILL
candidate_60,trait_organized,HAS_TRAIT
candidate_60,trait_team_player,HAS_TRAIT
candidate_60,task_prepare_report,ASSIGNED_TASK
candidate_60,feedback_60,HAS_FEEDBACK
candidate_60,placement_60,PLACED_IN
candidate_61,email_61,HAS_EMAIL
candidate_61,company_4,WORKED_AT
candidate_61,skill_machine learning,HAS_SKILL
candidate_61,skill_java,HAS_SKILL
candidate_61,skill_react,HAS_SKILL
candidate_61,trait_detail-oriented,HAS_TRAIT
candidate_61,trait_organized,HAS_TRAIT
candidate_61,task_prepare_report,ASSIGNED_TASK
candidate_61,feedback_61,HAS_FEEDBACK
candidate_61,placement_61,PLACED_IN
candidate_62,email_62,HAS_EMAIL
candidate_62,company_11,WORKED_AT
candidate_62,skill_salesforce,HAS_SKILL
candidate_62,skill_react,HAS_SKILL
candidate_62,skill_excel,HAS_SKILL
candidate_62,trait_detail-oriented,HAS_TRAIT
candidate_62,trait_leader,HAS_TRAIT
candidate_62,task_prepare_report,ASSIGNED_TASK
candidate_62,feedback_62,HAS_FEEDBACK
candidate_62,placement_62,PLACED_IN
candidate_63,email_63,HAS_EMAIL
candidate_63,company_3,WORKED_AT
candidate_63,skill_emr,HAS_SKILL
candidate_63,skill_java,HAS_SKILL
candidate_63,skill_aws,HAS_SKILL
candidate_63,trait_analytical,HAS_TRAIT
candidate_63,trait_creative,HAS_TRAIT
candidate_63,task_lead_project,ASSIGNED_TASK
candidate_63,feedback_63,HAS_FEEDBACK
candidate_63,placement_63,PLACED_IN
candidate_64,email_64,HAS_EMAIL
candidate_64,company_7,WORKED_AT
candidate_64,skill_python,HAS_SKILL
candidate_64,skill_java,HAS_SKILL
candidate_64,skill_emr,HAS_SKILL
candidate_64,trait_leader,HAS_TRAIT
candidate_64,trait_detail-oriented,HAS_TRAIT
